User Reward Progress V1 Campaign ID,User Reward Progress V1 Fp Amount,User Reward Progress V1 Reward Type,User Reward Progress V1 Shop Item ID,User Reward Progress V1 Status,User Reward Progress V1 Total Events,User Reward Progress V1 Total Unique Users
69a98a03c9826d9e405f19c7,"1,000",faceit_points,,IN_PROGRESS,"4,194","4,194"
69a98a03c9826d9e405f19c7,0,shop_item,69ae6826cf9cd385db77b26c,EXPIRED,155,155
69a98a03c9826d9e405f19c7,0,shop_item,69ae6826cf9cd385db77b26c,IN_PROGRESS,"4,194","4,194"
69a98a03c9826d9e405f19c7,"5,000",faceit_points,,EXPIRED,169,169
69a98a03c9826d9e405f19c7,"1,000",faceit_points,,EXPIRED,30,30
69a98a03c9826d9e405f19c7,0,shop_item,69ae6896cf9cd385db77b26e,IN_PROGRESS,175,174
69a98a03c9826d9e405f19c7,0,shop_item,69ae65b763cb5c3e126c7ef4,FAILED,1,1
69a98a03c9826d9e405f19c7,0,unknown,,COMPLETED,"2,406","2,382"
69a98a03c9826d9e405f19c7,"5,000",faceit_points,,IN_PROGRESS,"4,194","4,194"
69a98a03c9826d9e405f19c7,0,shop_item,69aae1442fd9bd4bb66e5381,IN_PROGRESS,"4,194","4,194"
69a98a03c9826d9e405f19c7,0,shop_item,69aae1442fd9bd4bb66e5381,EXPIRED,174,174
69a98a03c9826d9e405f19c7,"5,000",faceit_points,,COMPLETED,6,6
69a98a03c9826d9e405f19c7,"1,000",faceit_points,,COMPLETED,145,145
69a98a03c9826d9e405f19c7,0,shop_item,69ae6939cf9cd385db77b271,EXPIRED,172,172
69a98a3d67440357fc479dfe,0,shop_item,69ae65b763cb5c3e126c7ef4,FAILED,1,1
69a98a3d67440357fc479dfe,0,shop_item,69ae6896cf9cd385db77b26e,IN_PROGRESS,"3,320","3,320"
69a98a3d67440357fc479dfe,0,unknown,,COMPLETED,"1,896","1,815"
69a98a3d67440357fc479dfe,0,unknown,,CLAIMED,"3,434","3,340"
69a98a3d67440357fc479dfe,0,shop_item,69ae65b763cb5c3e126c7ef4,IN_PROGRESS,"3,852","3,852"
69a98a74089d5fa419da09a3,0,shop_item,69ae69afcf9cd385db77b273,IN_PROGRESS,"309,026","308,646"
