Country,Date,Total impressions,Total revenue,Total average eCPM,Total fill rate
Vietnam,2026-03-30,77,$0.01 ,$0.09 ,2.78%
Vietnam,2026-04-04,77,$0.01 ,$0.11 ,2.56%
Bulgaria,2026-04-07,76,$0.00 ,$0.02 ,5.12%
Estonia,2026-03-31,76,$0.02 ,$0.33 ,7.93%
India,2026-03-31,76,$0.01 ,$0.09 ,4.03%
Kazakhstan,2026-04-01,76,$0.01 ,$0.16 ,2.27%
Switzerland,2026-04-04,76,$0.01 ,$0.11 ,7.95%
Kazakhstan,2026-04-03,75,$0.01 ,$0.20 ,2.53%
Malaysia,2026-04-08,75,$0.01 ,$0.13 ,3.72%
Turkiye,2026-04-05,75,$0.01 ,$0.07 ,0.72%
Estonia,2026-04-03,74,$0.01 ,$0.16 ,6.95%
Estonia,2026-04-04,74,$0.02 ,$0.22 ,5.72%
Kazakhstan,2026-04-04,74,$0.02 ,$0.22 ,2.55%
Kyrgyzstan,2026-03-31,74,$0.02 ,$0.30 ,14.40%
Portugal,2026-04-06,74,$0.01 ,$0.11 ,1.88%
Norway,2026-04-05,73,$0.01 ,$0.10 ,1.75%
Slovakia,2026-04-07,73,$0.00 ,$0.04 ,4.53%
Malaysia,2026-04-02,71,$0.01 ,$0.12 ,2.86%
Switzerland,2026-04-01,71,$0.01 ,$0.14 ,7.61%
Vietnam,2026-04-08,71,$0.01 ,$0.13 ,2.20%
Japan,2026-04-02,70,$0.01 ,$0.11 ,6.04%
Slovakia,2026-04-04,70,$0.00 ,$0.04 ,4.93%
Switzerland,2026-04-06,70,$0.04 ,$0.58 ,6.78%
Taiwan,2026-04-02,69,$0.01 ,$0.14 ,1.26%
Vietnam,2026-04-02,69,$0.01 ,$0.13 ,2.11%
Vietnam,2026-04-07,69,$0.01 ,$0.07 ,2.24%
Bulgaria,2026-04-08,68,$0.00 ,$0.06 ,5.31%
Taiwan,2026-03-31,68,$0.01 ,$0.11 ,1.67%
Estonia,2026-04-08,67,$0.01 ,$0.19 ,5.30%
Ukraine,2026-04-05,66,$0.01 ,$0.13 ,0.60%
Vietnam,2026-03-31,66,$0.01 ,$0.09 ,2.32%
India,2026-03-30,65,$0.01 ,$0.13 ,3.19%
Kazakhstan,2026-04-08,65,$0.01 ,$0.15 ,2.01%
Belgium,2026-03-30,64,$0.05 ,$0.74 ,7.39%
Hungary,2026-04-06,64,$0.01 ,$0.11 ,3.45%
Switzerland,2026-04-02,64,$0.01 ,$0.17 ,6.67%
Kazakhstan,2026-03-31,63,$0.01 ,$0.16 ,2.07%
Norway,2026-04-03,63,$0.01 ,$0.14 ,1.43%
